,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist_Pass,PrgDist_Pass,Cmp_Shrt,Att_Shrt,Cmp%_Shrt,Cmp_Med,Att_Med,Cmp%_Med,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3_Pass,PPA,CrsPA,PrgP,Live_Pass,Dead,FK_Pass,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd_Tkls,Mid 3rd_Tkls,Att 3rd_Tkls,Tkl_Chl,Att_Chl,Tkl%,Lost,Blocks_Def,Blocks_Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_Tch,Mid 3rd_Tch,Att 3rd_Tch,Att Pen,Live_Tch,Att_TakeOns,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_Carr,PrgDist_Carr,PrgC,1/3_Carr,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,CrdY,CrdR,2CrdY,Fls,Fld,Offsd,PKwon,PKcon,OG,Recov,Won_AD,Lost_AD,Won%
0,David de Gea,es ESP,GK,30.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,1094.0,73.0,19985.0,13827.0,200.0,202.0,99.0,384.0,398.0,96.5,212.0,486.0,43.6,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,663.0,429.0,68.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.07,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1205.0,1094.0,1203.0,2.0,0.0,0.0,1205.0,0.0,0.0,0.0,0.0,0.0,528.0,2714.0,1604.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,46,4140.0,90.0,95.2,46,90.0,46,0,0.0,0,1.57,69.0,66.0,3.0,0.07,0.07,64.1,62.3,1.7,0.04,0.17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,8.0,0.0,100.0
1,Bruno Fernandes,pt POR,MF,26.0,42.8,10.0,109.0,32.0,29.4,2.55,0.75,0.09,0.31,21.9,6.0,0.0,2.0,10.2,8.6,0.09,-0.2,1.4,1804.0,2443.0,73.8,31388.0,9207.0,899.0,1056.0,85.1,606.0,760.0,79.7,238.0,439.0,54.2,14.0,12.5,8.9,1.5,110.0,212.0,94.0,15.0,282.0,2205.0,214.0,48.0,26.0,41.0,182.0,27.0,78.0,23.0,34.0,0.0,24.0,60.0,189.0,4.69,143.0,23.0,6.0,10.0,6.0,1.0,18.0,0.45,14.0,1.0,1.0,2.0,0.0,0.0,66.0,37.0,28.0,31.0,7.0,34.0,108.0,31.5,74.0,41.0,0.0,41.0,21.0,85.0,50.0,2.0,2866.0,77.0,409.0,1337.0,1138.0,122.0,2864.0,63.0,31.0,49.2,32.0,50.8,1657.0,7630.0,4010.0,86.0,76.0,26.0,64.0,47.0,2113.0,232.0,46,3853.0,84.0,86.8,43,88.0,30,3,25.0,0,1.45,61.0,63.0,-2.0,-0.05,-0.66,58.4,57.0,1.4,0.04,0.0,10.0,0.0,0.0,42.0,58.0,6.0,0.0,0.0,0.0,210.0,20.0,33.0,37.7
2,Cristiano Ronaldo,pt POR,FW,36.0,35.4,24.0,139.0,54.0,38.8,3.93,1.53,0.15,0.39,15.7,12.0,3.0,4.0,20.6,18.3,0.15,3.4,2.7,905.0,1113.0,81.3,11319.0,1888.0,582.0,664.0,87.7,219.0,269.0,81.4,28.0,40.0,70.0,3.0,3.4,2.9,-0.4,35.0,59.0,25.0,2.0,83.0,1067.0,43.0,3.0,3.0,7.0,19.0,9.0,2.0,0.0,0.0,0.0,3.0,31.0,102.0,2.99,78.0,1.0,10.0,7.0,6.0,0.0,11.0,0.32,6.0,0.0,2.0,1.0,2.0,0.0,11.0,8.0,2.0,6.0,3.0,4.0,9.0,44.4,5.0,14.0,0.0,14.0,2.0,13.0,36.0,0.0,1445.0,37.0,118.0,624.0,713.0,199.0,1442.0,47.0,29.0,61.7,18.0,38.3,767.0,4012.0,2133.0,84.0,50.0,44.0,66.0,33.0,1178.0,248.0,38,3186.0,84.0,73.2,35,89.0,27,3,28.0,0,1.6,52.0,50.0,2.0,0.06,-0.02,53.1,47.5,5.6,0.16,0.49,9.0,0.0,0.0,21.0,29.0,36.0,2.0,0.0,0.0,69.0,50.0,85.0,37.0
3,Harry Maguire,eng ENG,DF,28.0,35.2,2.0,28.0,12.0,42.9,0.8,0.34,0.07,0.17,12.5,0.0,0.0,0.0,2.3,2.3,0.09,-0.3,-0.3,1662.0,1934.0,85.9,33991.0,11836.0,543.0,591.0,91.9,863.0,947.0,91.1,232.0,345.0,67.2,0.0,0.4,1.1,-0.4,5.0,131.0,2.0,0.0,124.0,1857.0,66.0,61.0,0.0,32.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,8.0,27.0,0.8,17.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,28.0,27.0,10.0,5.0,24.0,36.0,66.7,12.0,39.0,30.0,9.0,42.0,79.0,113.0,3.0,2236.0,278.0,1031.0,1098.0,120.0,50.0,2236.0,7.0,5.0,71.4,2.0,28.6,1273.0,7025.0,3944.0,25.0,19.0,1.0,13.0,6.0,1486.0,8.0,37,3168.0,86.0,72.8,35,89.0,32,2,21.0,3,1.6,56.0,50.0,6.0,0.17,0.4,48.3,43.5,4.8,0.14,0.41,9.0,1.0,1.0,29.0,27.0,1.0,0.0,0.0,1.0,177.0,86.0,35.0,71.1
4,Scott McTominay,sct SCO,MF,24.0,33.3,2.0,36.0,12.0,33.3,1.08,0.36,0.06,0.17,19.9,0.0,0.0,0.0,2.2,2.2,0.07,-1.2,-1.2,1247.0,1471.0,84.8,21821.0,6433.0,563.0,638.0,88.2,513.0,579.0,88.6,136.0,168.0,81.0,1.0,1.5,2.4,-0.5,23.0,133.0,10.0,2.0,149.0,1420.0,44.0,42.0,2.0,19.0,13.0,2.0,0.0,0.0,0.0,0.0,7.0,18.0,56.0,1.81,48.0,0.0,3.0,1.0,2.0,2.0,6.0,0.19,4.0,0.0,0.0,1.0,0.0,1.0,69.0,37.0,34.0,25.0,10.0,32.0,67.0,47.8,35.0,51.0,13.0,38.0,44.0,109.0,64.0,1.0,1839.0,100.0,447.0,1067.0,344.0,31.0,1839.0,52.0,40.0,76.9,12.0,23.1,1027.0,6039.0,2924.0,43.0,40.0,3.0,51.0,34.0,1162.0,40.0,37,2994.0,81.0,67.4,35,85.0,24,2,13.0,2,1.57,48.0,44.0,4.0,0.12,0.19,45.4,44.2,1.2,0.04,0.01,10.0,0.0,0.0,62.0,40.0,1.0,0.0,1.0,0.0,198.0,74.0,40.0,64.9
5,Victor Lindelöf,se SWE,DF,27.0,32.9,0.0,3.0,2.0,66.7,0.09,0.06,0.0,0.0,8.6,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2,1478.0,1673.0,88.3,27371.0,9688.0,538.0,579.0,92.9,783.0,841.0,93.1,132.0,201.0,65.7,2.0,0.6,1.0,1.4,4.0,92.0,7.0,0.0,79.0,1632.0,39.0,30.0,4.0,10.0,2.0,9.0,0.0,0.0,0.0,0.0,2.0,10.0,15.0,0.49,14.0,0.0,0.0,0.0,0.0,1.0,4.0,0.13,3.0,0.0,0.0,0.0,0.0,1.0,21.0,16.0,12.0,9.0,0.0,13.0,19.0,68.4,6.0,33.0,23.0,10.0,30.0,50.0,115.0,0.0,1920.0,258.0,1043.0,834.0,55.0,11.0,1920.0,3.0,3.0,100.0,0.0,0.0,1103.0,6832.0,3888.0,16.0,18.0,3.0,8.0,2.0,1263.0,5.0,35,2960.0,85.0,66.7,33,89.0,31,2,16.0,6,1.48,47.0,54.0,-7.0,-0.21,-0.76,41.3,47.8,-6.5,-0.21,-0.74,5.0,0.0,0.0,24.0,7.0,2.0,0.0,0.0,0.0,183.0,57.0,34.0,62.6
6,Fred,br BRA,MF,28.0,28.8,4.0,21.0,11.0,52.4,0.73,0.38,0.19,0.36,20.8,0.0,0.0,0.0,1.5,1.5,0.08,2.5,2.5,1363.0,1628.0,83.7,22749.0,6570.0,650.0,741.0,87.7,536.0,608.0,88.2,117.0,148.0,79.1,5.0,2.3,3.2,2.7,30.0,149.0,14.0,2.0,157.0,1580.0,44.0,32.0,11.0,17.0,10.0,12.0,0.0,0.0,0.0,0.0,4.0,44.0,65.0,2.38,59.0,1.0,0.0,0.0,5.0,0.0,11.0,0.4,10.0,0.0,0.0,0.0,1.0,0.0,76.0,35.0,36.0,31.0,9.0,27.0,92.0,29.3,65.0,42.0,12.0,30.0,41.0,115.0,28.0,0.0,1944.0,73.0,464.0,1159.0,330.0,21.0,1944.0,41.0,23.0,56.1,18.0,43.9,977.0,3800.0,1769.0,18.0,19.0,3.0,44.0,29.0,1303.0,47.0,36,2588.0,72.0,59.5,30,82.0,17,6,22.0,4,1.75,41.0,36.0,5.0,0.17,0.28,37.3,36.3,1.0,0.04,0.0,8.0,0.0,0.0,38.0,41.0,0.0,1.0,0.0,1.0,240.0,18.0,17.0,51.4
7,Jadon Sancho,eng ENG,FW,21.0,27.6,5.0,38.0,13.0,34.2,1.38,0.47,0.13,0.38,14.4,0.0,0.0,0.0,4.3,4.3,0.14,-0.3,-0.3,980.0,1186.0,82.6,12822.0,2741.0,623.0,714.0,87.3,283.0,341.0,83.0,22.0,32.0,68.8,3.0,4.2,3.9,-1.2,43.0,42.0,44.0,7.0,108.0,1153.0,30.0,1.0,5.0,3.0,34.0,21.0,7.0,0.0,1.0,0.0,3.0,20.0,95.0,3.73,80.0,3.0,9.0,2.0,1.0,0.0,9.0,0.35,7.0,0.0,2.0,0.0,0.0,0.0,22.0,10.0,11.0,6.0,5.0,12.0,31.0,38.7,19.0,24.0,0.0,24.0,19.0,40.0,8.0,3.0,1441.0,13.0,172.0,561.0,732.0,118.0,1441.0,102.0,53.0,52.0,49.0,48.0,911.0,6472.0,3510.0,128.0,85.0,46.0,55.0,36.0,1128.0,268.0,38,2481.0,65.0,55.9,27,81.0,13,11,27.0,3,1.5,38.0,33.0,5.0,0.18,0.32,33.6,33.0,0.5,0.02,-0.03,0.0,0.0,0.0,4.0,10.0,7.0,0.0,0.0,0.0,139.0,3.0,12.0,20.0
8,Raphaël Varane,fr FRA,DF,28.0,26.3,1.0,11.0,3.0,27.3,0.42,0.11,0.09,0.33,9.2,0.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1,1241.0,1410.0,88.0,25375.0,8432.0,367.0,408.0,90.0,709.0,761.0,93.2,156.0,216.0,72.2,1.0,0.2,0.3,0.8,4.0,80.0,1.0,0.0,62.0,1366.0,42.0,39.0,0.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,9.0,0.37,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,21.0,9.0,1.0,11.0,24.0,45.8,13.0,24.0,13.0,11.0,28.0,54.0,98.0,2.0,1625.0,189.0,773.0,818.0,48.0,18.0,1625.0,4.0,3.0,75.0,1.0,25.0,990.0,5888.0,3363.0,18.0,12.0,0.0,11.0,1.0,1089.0,3.0,29,2363.0,81.0,54.3,26,88.0,24,3,25.0,2,1.62,35.0,29.0,6.0,0.23,0.36,34.9,31.2,3.7,0.15,0.25,1.0,0.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,107.0,66.0,22.0,75.0
9,Diogo Dalot,pt POR,DF,22.0,25.9,0.0,18.0,5.0,27.8,0.69,0.19,0.0,0.0,21.6,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,1063.0,1356.0,78.4,19341.0,6825.0,468.0,543.0,86.2,450.0,555.0,81.1,129.0,205.0,62.9,0.0,1.3,1.5,-1.3,18.0,100.0,25.0,8.0,124.0,1144.0,207.0,17.0,3.0,10.0,74.0,188.0,2.0,0.0,2.0,0.0,5.0,21.0,48.0,2.12,42.0,1.0,3.0,1.0,1.0,0.0,5.0,0.22,5.0,0.0,0.0,0.0,0.0,0.0,65.0,55.0,42.0,15.0,8.0,38.0,67.0,56.7,29.0,27.0,13.0,14.0,36.0,96.0,65.0,0.0,1614.0,93.0,494.0,759.0,377.0,29.0,1614.0,31.0,20.0,64.5,11.0,35.5,823.0,4242.0,2480.0,60.0,31.0,13.0,27.0,8.0,943.0,81.0,30,2335.0,78.0,52.6,24,91.0,23,6,26.0,17,1.54,32.0,35.0,-3.0,-0.12,-0.33,31.4,30.0,1.4,0.06,0.05,6.0,0.0,0.0,25.0,4.0,1.0,0.0,0.0,0.0,164.0,37.0,18.0,67.3
