,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist_Pass,PrgDist_Pass,Cmp_Shrt,Att_Shrt,Cmp%_Shrt,Cmp_Med,Att_Med,Cmp%_Med,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3_Pass,PPA,CrsPA,PrgP,Live_Pass,Dead,FK_Pass,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd_Tkls,Mid 3rd_Tkls,Att 3rd_Tkls,Tkl_Chl,Att_Chl,Tkl%,Lost,Blocks_Def,Blocks_Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_Tch,Mid 3rd_Tch,Att 3rd_Tch,Att Pen,Live_Tch,Att_TakeOns,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_Carr,PrgDist_Carr,PrgC,1/3_Carr,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,CrdY,CrdR,2CrdY,Fls,Fld,Offsd,PKwon,PKcon,OG,Recov,Won_AD,Lost_AD,Won%
10,Aaron Wan-Bissaka,eng ENG,DF,23.0,24.6,0.0,6.0,1.0,16.7,0.24,0.04,0.0,0.0,14.1,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,1176.0,1442.0,81.6,16183.0,5196.0,741.0,812.0,91.3,341.0,411.0,83.0,47.0,88.0,53.4,0.0,0.9,1.0,-0.9,15.0,63.0,15.0,8.0,80.0,1229.0,211.0,8.0,0.0,7.0,44.0,203.0,0.0,0.0,0.0,0.0,2.0,51.0,40.0,1.63,34.0,0.0,3.0,1.0,1.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,61.0,43.0,29.0,22.0,10.0,19.0,26.0,73.1,7.0,28.0,15.0,13.0,45.0,106.0,49.0,2.0,1718.0,92.0,579.0,725.0,439.0,32.0,1718.0,71.0,44.0,62.0,27.0,38.0,889.0,5323.0,2895.0,70.0,48.0,8.0,29.0,17.0,1039.0,102.0,26,2212.0,85.0,49.8,25,87.0,23,1,25.0,14,1.31,39.0,40.0,-1.0,-0.04,-0.18,35.8,36.2,-0.4,-0.02,-0.11,2.0,1.0,0.0,19.0,15.0,1.0,0.0,1.0,0.0,160.0,20.0,35.0,36.4
11,Luke Shaw,eng ENG,DF,26.0,24.5,0.0,8.0,2.0,25.0,0.33,0.08,0.0,0.0,23.1,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1177.0,1483.0,79.4,17705.0,6727.0,684.0,761.0,89.9,372.0,455.0,81.8,77.0,165.0,46.7,5.0,4.0,3.1,1.0,43.0,93.0,22.0,8.0,109.0,1196.0,278.0,22.0,3.0,9.0,138.0,198.0,58.0,21.0,30.0,0.0,9.0,27.0,78.0,3.52,52.0,22.0,1.0,0.0,1.0,2.0,9.0,0.41,8.0,1.0,0.0,0.0,0.0,0.0,25.0,17.0,12.0,10.0,3.0,14.0,25.0,56.0,11.0,26.0,12.0,14.0,20.0,43.0,30.0,2.0,1652.0,64.0,383.0,762.0,519.0,20.0,1652.0,20.0,10.0,50.0,10.0,50.0,840.0,4503.0,2607.0,57.0,51.0,4.0,19.0,15.0,1046.0,84.0,27,2207.0,82.0,50.7,26,84.0,20,1,17.0,2,1.48,40.0,33.0,7.0,0.29,0.45,33.6,29.6,4.0,0.18,0.28,11.0,0.0,0.0,44.0,25.0,4.0,0.0,1.0,0.0,113.0,26.0,19.0,57.8
12,Alex Telles,br BRA,DF,28.0,22.5,1.0,13.0,4.0,30.8,0.58,0.18,0.08,0.25,23.2,4.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,1084.0,1443.0,75.1,16040.0,6199.0,642.0,711.0,90.3,347.0,462.0,75.1,65.0,196.0,33.2,4.0,2.3,2.5,1.7,30.0,68.0,19.0,12.0,83.0,1175.0,263.0,33.0,2.0,1.0,164.0,166.0,64.0,24.0,36.0,0.0,5.0,26.0,59.0,2.72,32.0,20.0,1.0,2.0,3.0,1.0,5.0,0.23,0.0,4.0,0.0,0.0,1.0,0.0,53.0,29.0,35.0,14.0,4.0,29.0,51.0,56.9,22.0,22.0,5.0,17.0,31.0,84.0,49.0,0.0,1660.0,75.0,457.0,686.0,531.0,20.0,1660.0,26.0,16.0,61.5,10.0,38.5,858.0,3911.0,2147.0,43.0,42.0,2.0,21.0,11.0,1018.0,123.0,26,2024.0,78.0,45.6,22,88.0,18,4,25.0,11,1.54,30.0,29.0,1.0,0.04,0.04,29.8,30.5,-0.7,-0.03,-0.13,3.0,0.0,0.0,25.0,15.0,1.0,0.0,2.0,0.0,108.0,37.0,30.0,55.2
13,Paul Pogba,fr FRA,"MF,FW",28.0,19.7,1.0,34.0,9.0,26.5,1.72,0.46,0.03,0.11,18.5,0.0,0.0,0.0,2.7,2.7,0.08,-1.7,-1.7,895.0,1088.0,82.3,15981.0,4476.0,427.0,487.0,87.7,310.0,363.0,85.4,126.0,159.0,79.2,9.0,3.7,3.3,5.3,29.0,111.0,27.0,2.0,133.0,1063.0,21.0,18.0,9.0,29.0,13.0,1.0,1.0,0.0,0.0,0.0,4.0,23.0,64.0,3.4,51.0,1.0,6.0,1.0,5.0,0.0,11.0,0.58,10.0,1.0,0.0,0.0,0.0,0.0,20.0,13.0,6.0,12.0,2.0,8.0,33.0,24.2,25.0,14.0,1.0,13.0,17.0,34.0,18.0,1.0,1308.0,29.0,200.0,750.0,371.0,49.0,1308.0,62.0,42.0,67.7,20.0,32.3,774.0,3777.0,1979.0,37.0,29.0,7.0,52.0,36.0,1022.0,70.0,27,1776.0,66.0,40.8,21,77.0,10,6,26.0,0,1.44,32.0,29.0,3.0,0.15,0.15,28.5,23.7,4.9,0.26,0.38,8.0,1.0,0.0,49.0,39.0,1.0,0.0,0.0,0.0,117.0,43.0,22.0,66.2
14,Mason Greenwood,eng ENG,FW,19.0,18.8,6.0,58.0,26.0,44.8,3.08,1.38,0.1,0.23,18.9,0.0,0.0,0.0,4.5,4.5,0.09,1.5,1.5,514.0,644.0,79.8,8437.0,1775.0,272.0,312.0,87.2,177.0,207.0,85.5,48.0,78.0,61.5,2.0,2.7,2.2,-0.7,21.0,37.0,16.0,4.0,51.0,623.0,18.0,3.0,9.0,17.0,41.0,1.0,12.0,10.0,2.0,0.0,3.0,14.0,62.0,3.55,49.0,0.0,6.0,2.0,4.0,1.0,10.0,0.57,8.0,0.0,0.0,1.0,1.0,0.0,20.0,13.0,11.0,1.0,8.0,6.0,16.0,37.5,10.0,9.0,0.0,9.0,3.0,23.0,8.0,0.0,825.0,8.0,93.0,364.0,382.0,68.0,825.0,61.0,35.0,57.4,26.0,42.6,521.0,3619.0,1807.0,54.0,34.0,25.0,36.0,17.0,648.0,141.0,24,1693.0,71.0,38.1,20,78.0,6,4,34.0,4,1.75,28.0,23.0,5.0,0.27,0.36,26.6,23.8,2.9,0.16,0.21,2.0,0.0,0.0,19.0,20.0,6.0,0.0,0.0,0.0,68.0,4.0,9.0,30.8
15,Nemanja Matić,rs SRB,"MF,DF",32.0,18.6,0.0,7.0,1.0,14.3,0.38,0.05,0.0,0.0,24.2,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,1046.0,1213.0,86.2,17858.0,5695.0,493.0,548.0,90.0,407.0,454.0,89.6,111.0,140.0,79.3,4.0,2.0,1.4,2.0,13.0,105.0,8.0,2.0,111.0,1165.0,44.0,38.0,6.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,4.0,19.0,32.0,1.82,29.0,0.0,1.0,0.0,1.0,1.0,6.0,0.34,6.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,20.0,13.0,1.0,16.0,34.0,47.1,18.0,21.0,6.0,15.0,35.0,69.0,25.0,5.0,1393.0,65.0,399.0,809.0,200.0,8.0,1393.0,24.0,19.0,79.2,5.0,20.8,819.0,4974.0,3118.0,39.0,36.0,2.0,25.0,21.0,977.0,7.0,32,1672.0,52.0,37.7,18,81.0,9,14,15.0,12,1.44,26.0,29.0,-3.0,-0.16,-0.3,23.8,26.2,-2.4,-0.14,-0.28,5.0,0.0,0.0,29.0,7.0,0.0,0.0,0.0,0.0,139.0,30.0,17.0,63.8
16,Marcus Rashford,eng ENG,"FW,MF",23.0,18.4,5.0,42.0,16.0,38.1,2.28,0.87,0.12,0.31,19.0,1.0,0.0,0.0,3.7,3.7,0.12,1.3,1.3,401.0,549.0,73.0,5350.0,893.0,264.0,330.0,80.0,106.0,138.0,76.8,13.0,27.0,48.1,2.0,2.1,2.2,-0.1,9.0,21.0,12.0,1.0,37.0,526.0,17.0,2.0,0.0,1.0,25.0,8.0,0.0,0.0,0.0,0.0,6.0,13.0,36.0,2.17,21.0,0.0,5.0,4.0,6.0,0.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,3.0,7.0,2.0,4.0,15.0,26.7,11.0,15.0,1.0,14.0,5.0,17.0,5.0,1.0,737.0,7.0,60.0,289.0,399.0,78.0,737.0,60.0,23.0,38.3,37.0,61.7,442.0,2834.0,1359.0,55.0,32.0,31.0,48.0,31.0,600.0,143.0,32,1657.0,52.0,38.1,18,75.0,3,14,22.0,3,1.44,24.0,34.0,-10.0,-0.54,-0.98,22.6,27.3,-4.7,-0.28,-0.5,3.0,0.0,0.0,20.0,23.0,20.0,0.0,0.0,0.0,48.0,16.0,30.0,34.8
17,Anthony Elanga,se SWE,"FW,MF",19.0,16.1,3.0,27.0,11.0,40.7,1.68,0.68,0.11,0.27,15.1,0.0,0.0,0.0,3.7,3.7,0.15,-0.7,-0.7,364.0,493.0,73.8,4557.0,963.0,244.0,289.0,84.4,77.0,107.0,72.0,12.0,21.0,57.1,2.0,2.4,1.2,-0.4,9.0,11.0,8.0,2.0,20.0,476.0,15.0,1.0,2.0,1.0,23.0,14.0,0.0,0.0,0.0,0.0,2.0,17.0,24.0,1.56,13.0,0.0,3.0,2.0,4.0,2.0,6.0,0.39,3.0,0.0,1.0,0.0,1.0,1.0,30.0,23.0,13.0,15.0,2.0,17.0,31.0,54.8,14.0,17.0,1.0,16.0,12.0,42.0,7.0,0.0,683.0,11.0,120.0,240.0,325.0,61.0,683.0,32.0,12.0,37.5,20.0,62.5,390.0,2261.0,1076.0,35.0,26.0,12.0,44.0,15.0,495.0,120.0,27,1448.0,54.0,32.6,16,78.0,6,11,18.0,6,1.33,22.0,19.0,3.0,0.19,0.22,20.4,18.2,2.3,0.15,0.17,0.0,0.0,0.0,11.0,25.0,4.0,0.0,0.0,0.0,52.0,27.0,24.0,52.9
18,Edinson Cavani,uy URU,FW,34.0,10.2,2.0,21.0,7.0,33.3,2.06,0.69,0.1,0.29,12.3,0.0,0.0,0.0,3.8,3.8,0.2,-1.8,-1.8,202.0,268.0,75.4,2646.0,266.0,122.0,150.0,81.3,51.0,69.0,73.9,8.0,14.0,57.1,1.0,1.5,1.0,-0.5,9.0,4.0,3.0,0.0,10.0,259.0,9.0,2.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,1.49,11.0,0.0,0.0,2.0,1.0,0.0,3.0,0.32,2.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,3.0,1.0,3.0,9.0,33.3,6.0,6.0,0.0,6.0,3.0,7.0,10.0,0.0,341.0,13.0,62.0,145.0,135.0,35.0,341.0,7.0,5.0,71.4,2.0,28.6,161.0,437.0,125.0,2.0,5.0,2.0,13.0,6.0,250.0,42.0,20,916.0,46.0,21.1,8,79.0,4,12,23.0,0,1.6,18.0,10.0,8.0,0.79,0.92,14.1,12.2,1.9,0.2,0.21,1.0,0.0,0.0,9.0,7.0,6.0,0.0,0.0,0.0,27.0,11.0,18.0,37.9
19,Jesse Lingard,eng ENG,"MF,FW",28.0,6.2,2.0,14.0,10.0,71.4,2.25,1.6,0.14,0.2,18.5,0.0,0.0,0.0,0.8,0.8,0.08,1.2,1.2,166.0,197.0,84.3,1974.0,482.0,98.0,109.0,89.9,44.0,54.0,81.5,0.0,5.0,0.0,1.0,0.9,0.6,0.1,11.0,13.0,3.0,0.0,15.0,195.0,2.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,3.53,16.0,0.0,0.0,2.0,1.0,0.0,2.0,0.37,1.0,0.0,0.0,1.0,0.0,0.0,11.0,9.0,6.0,3.0,2.0,2.0,9.0,22.2,7.0,5.0,0.0,5.0,1.0,12.0,1.0,1.0,261.0,2.0,28.0,121.0,117.0,11.0,261.0,11.0,4.0,36.4,7.0,63.6,170.0,706.0,376.0,10.0,10.0,1.0,18.0,5.0,194.0,28.0,22,561.0,26.0,12.6,4,72.0,0,18,15.0,20,1.41,11.0,16.0,-5.0,-0.8,-0.96,7.0,10.1,-3.2,-0.59,-0.7,1.0,0.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,28.0,1.0,3.0,25.0
