,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist_Pass,PrgDist_Pass,Cmp_Shrt,Att_Shrt,Cmp%_Shrt,Cmp_Med,Att_Med,Cmp%_Med,Cmp_Long,Att_Long,Cmp%_Long,Ast,xAG,xA,A-xAG,KP,1/3_Pass,PPA,CrsPA,PrgP,Live_Pass,Dead,FK_Pass,TB,Sw,Crs,TI,CK,In,Out,Str,Off,Blocks,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,Tkl,TklW,Def 3rd_Tkls,Mid 3rd_Tkls,Att 3rd_Tkls,Tkl_Chl,Att_Chl,Tkl%,Lost,Blocks_Def,Blocks_Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_Tch,Mid 3rd_Tch,Att 3rd_Tch,Att Pen,Live_Tch,Att_TakeOns,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_Carr,PrgDist_Carr,PrgC,1/3_Carr,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off_xG,CrdY,CrdR,2CrdY,Fls,Fld,Offsd,PKwon,PKcon,OG,Recov,Won_AD,Lost_AD,Won%
0,Casemiro,br BRA,MF,30,43.3,7,71,25,35.2,1.64,0.58,0.1,0.28,20.9,0.0,0,0,5.0,5.0,0.09,-1.0,-1.0,1686.0,2166.0,77.8,30359.0,11348.0,783.0,920.0,85.1,655.0,802.0,81.7,209.0,326.0,64.1,6,4.4,4.9,1.6,41.0,214.0,30.0,5.0,232.0,2115.0,41.0,36.0,18.0,22.0,24,4.0,0.0,0.0,0.0,0.0,10.0,45.0,104.0,3.01,93.0,1.0,0.0,7.0,3.0,0.0,13.0,0.38,12.0,1.0,0.0,0.0,0.0,0.0,121.0,76,62.0,47.0,12.0,61.0,132.0,46.2,71.0,86.0,22.0,64.0,65,172,86.0,0.0,2657.0,153.0,780.0,1442.0,453.0,47.0,2657.0,27.0,12.0,44.4,10.0,37.0,1334.0,4428.0,2227.0,27.0,22.0,1.0,28.0,23.0,1659.0,53.0,51,3897.0,76.0,69.5,43,86.0,31,8,27.0,0,2.22,73.0,37.0,36.0,0.83,0.36,65.4,35.8,29.6,0.86,0.77,13,2,0,74,56,3,0.0,1.0,0,305.0,90.0,54.0,62.5
1,Lisandro Martínez,ar ARG,DF,24,37.9,1,15,1,6.7,0.4,0.03,0.07,1.0,13.4,0.0,0,0,0.7,0.7,0.06,0.3,0.3,1888.0,2169.0,87.0,34120.0,12255.0,769.0,824.0,93.3,942.0,1012.0,93.1,153.0,277.0,55.2,0,0.8,2.3,-0.8,12.0,155.0,11.0,0.0,128.0,2000.0,160.0,48.0,12.0,26.0,0,8.0,0.0,0.0,0.0,0.0,9.0,9.0,30.0,0.93,27.0,0.0,0.0,1.0,1.0,1.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,80.0,53,56.0,21.0,3.0,49.0,65.0,75.4,16.0,60.0,32.0,28.0,50,125,133.0,0.0,2536.0,372.0,1257.0,1209.0,91.0,16.0,2536.0,19.0,17.0,89.5,0.0,0.0,1512.0,7752.0,4593.0,30.0,25.0,0.0,17.0,10.0,1630.0,2.0,45,3409.0,76.0,60.8,38,86.0,30,7,19.0,1,2.2,70.0,40.0,30.0,0.79,0.18,55.2,39.3,16.0,0.5,-0.34,10,0,0,35,17,1,0.0,1.0,0,224.0,41.0,38.0,51.9
2,Antony,br BRA,FW,22,34.4,8,122,47,38.5,3.55,1.37,0.07,0.17,19.6,0.0,0,0,8.4,8.4,0.09,-2.4,-2.4,864.0,1091.0,79.2,11444.0,2631.0,565.0,639.0,88.4,209.0,278.0,75.2,42.0,68.0,61.8,3,4.4,3.9,-1.4,40.0,42.0,48.0,8.0,102.0,1063.0,25.0,6.0,4.0,4.0,61,17.0,2.0,0.0,1.0,0.0,3.0,36.0,102.0,3.77,83.0,1.0,7.0,5.0,5.0,1.0,7.0,0.26,6.0,0.0,1.0,0.0,0.0,0.0,32.0,22,14.0,14.0,4.0,9.0,36.0,25.0,27.0,26.0,0.0,26.0,16,46,11.0,0.0,1439.0,15.0,173.0,475.0,824.0,111.0,1439.0,114.0,44.0,38.6,49.0,43.0,1034.0,6396.0,3325.0,123.0,79.0,40.0,53.0,21.0,1091.0,249.0,44,3092.0,70.0,55.1,39,75.0,8,5,34.0,0,2.14,54.0,30.0,24.0,0.7,-0.05,46.3,30.6,15.6,0.58,-0.08,8,0,0,30,46,2,0.0,0.0,0,134.0,9.0,24.0,27.3
3,Christian Eriksen,dk DEN,MF,30,34.0,2,58,15,25.9,1.71,0.44,0.03,0.13,20.8,6.0,0,0,5.3,5.3,0.12,-4.3,-4.3,1581.0,1952.0,81.0,26250.0,8459.0,815.0,911.0,89.5,568.0,660.0,86.1,150.0,274.0,54.7,10,5.7,4.9,4.3,56.0,211.0,37.0,5.0,224.0,1797.0,148.0,46.0,11.0,27.0,142,10.0,87.0,36.0,27.0,3.0,7.0,36.0,108.0,3.77,71.0,30.0,2.0,4.0,1.0,0.0,12.0,0.42,8.0,4.0,0.0,0.0,0.0,0.0,27.0,24,13.0,9.0,5.0,13.0,38.0,34.2,25.0,26.0,9.0,17.0,16,41,22.0,1.0,2153.0,51.0,342.0,1170.0,647.0,40.0,2153.0,24.0,10.0,41.7,14.0,58.3,1332.0,5006.0,2606.0,40.0,45.0,3.0,34.0,25.0,1617.0,84.0,44,3060.0,70.0,54.5,37,79.0,11,7,22.0,1,2.16,56.0,35.0,21.0,0.62,-0.23,46.5,30.8,15.7,0.55,-0.16,3,0,0,17,13,4,0.0,0.0,0,193.0,10.0,17.0,37.0
4,Tyrell Malacia,nl NED,DF,22,29.9,0,13,3,23.1,0.44,0.1,0.0,0.0,18.8,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,1132.0,1296.0,87.3,16526.0,4707.0,693.0,740.0,93.6,341.0,384.0,88.8,56.0,94.0,59.6,0,1.4,1.6,-1.4,16.0,69.0,20.0,2.0,94.0,1084.0,210.0,21.0,1.0,7.0,38,187.0,2.0,2.0,0.0,0.0,2.0,24.0,45.0,1.97,42.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,70,46.0,17.0,6.0,27.0,46.0,58.7,19.0,25.0,6.0,19.0,41,102,57.0,1.0,1554.0,75.0,511.0,655.0,400.0,35.0,1554.0,32.0,14.0,43.8,17.0,53.1,800.0,3962.0,2108.0,40.0,34.0,7.0,23.0,14.0,919.0,64.0,39,2688.0,69.0,47.9,29,84.0,20,10,26.0,22,2.2,53.0,25.0,28.0,0.94,0.41,45.5,24.1,21.4,0.94,0.59,9,0,0,71,29,4,0.0,0.0,1,132.0,11.0,11.0,50.0
5,Wout Weghorst,nl NED,"FW,MF",29,18.6,2,39,17,43.6,2.09,0.91,0.05,0.12,12.4,0.0,0,0,3.7,3.7,0.16,-2.7,-2.7,194.0,272.0,71.3,2306.0,616.0,120.0,153.0,78.4,40.0,56.0,71.4,6.0,14.0,42.9,3,1.8,1.9,1.2,17.0,11.0,4.0,0.0,23.0,268.0,4.0,0.0,5.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,35.0,2.67,28.0,0.0,2.0,3.0,1.0,1.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,17.0,12,7.0,5.0,5.0,4.0,16.0,25.0,12.0,15.0,5.0,10.0,10,26,14.0,0.0,406.0,23.0,59.0,199.0,151.0,42.0,406.0,18.0,6.0,33.3,11.0,61.1,218.0,674.0,238.0,6.0,8.0,1.0,22.0,17.0,273.0,57.0,31,1678.0,54.0,29.9,20,73.0,8,11,20.0,3,1.87,31.0,21.0,10.0,0.54,-0.26,23.5,18.9,4.6,0.35,-0.36,2,0,0,31,17,8,0.0,0.0,0,44.0,20.0,39.0,33.9
6,Marcel Sabitzer,at AUT,MF,28,11.6,3,24,10,41.7,2.07,0.86,0.13,0.3,17.9,1.0,0,0,1.5,1.5,0.1,0.5,0.5,272.0,364.0,74.7,3972.0,1196.0,152.0,189.0,80.4,88.0,111.0,79.3,15.0,26.0,57.7,1,1.1,1.3,-0.1,11.0,34.0,7.0,1.0,45.0,344.0,15.0,4.0,2.0,3.0,8,2.0,3.0,2.0,0.0,0.0,5.0,8.0,21.0,2.32,17.0,1.0,0.0,1.0,2.0,0.0,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,15.0,11,3.0,10.0,2.0,2.0,13.0,15.4,11.0,6.0,2.0,4.0,11,23,16.0,0.0,452.0,25.0,80.0,237.0,138.0,26.0,452.0,5.0,2.0,40.0,2.0,40.0,251.0,1009.0,450.0,12.0,7.0,1.0,13.0,7.0,294.0,36.0,18,1042.0,58.0,18.6,11,82.0,4,7,20.0,2,1.83,17.0,13.0,4.0,0.35,-0.46,15.7,13.9,1.9,0.21,-0.5,1,0,0,16,13,3,0.0,0.0,0,58.0,15.0,13.0,53.6
7,Facundo Pellistri,uy URU,"FW,MF",20,2.5,0,2,1,50.0,0.81,0.4,0.0,0.0,15.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,49.0,60.0,81.7,681.0,124.0,29.0,35.0,82.9,11.0,13.0,84.6,3.0,3.0,100.0,1,0.2,0.3,0.8,1.0,1.0,2.0,0.0,4.0,58.0,1.0,0.0,0.0,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,3.64,6.0,0.0,1.0,0.0,0.0,0.0,2.0,1.04,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2,1.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,1,4,3.0,0.0,82.0,2.0,18.0,29.0,38.0,9.0,82.0,11.0,6.0,54.5,3.0,27.3,49.0,429.0,191.0,8.0,3.0,3.0,4.0,2.0,55.0,14.0,10,223.0,22.0,4.0,1,90.0,1,9,15.0,33,2.1,7.0,4.0,3.0,1.21,0.51,4.1,2.5,1.6,0.84,0.24,3,0,0,5,4,3,0.0,0.0,0,8.0,0.0,0.0,0.0
8,Kobbie Mainoo,eng ENG,MF,17,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,83.0,31.0,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.1,0.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0.0,0.0,11.0,0.0,2.0,4.0,5.0,3.0,11.0,1.0,0.0,0.0,1.0,100.0,5.0,64.0,48.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,3,88.0,29.0,1.6,1,59.0,0,2,15.0,13,3.0,1.0,0.0,1.0,1.02,0.31,0.6,0.3,0.3,2.37,1.92,0,0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
